Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:12:45.869,target,BB Gun,0s,1,1,1,1,1,1,false
2,04:12:46.378,target,BB Gun,0s,1,1,1,1,1,1,false
3,04:12:46.870,target,BB Gun,0s,1,1,1,1,1,1,false
4,04:12:47.370,target,BB Gun,0.001s,1,1,1,1,1,1,false
5,04:12:47.671,target,BB Gun,0s,1,1,1,1,1,1,false
6,04:12:48.203,target,BB Gun,0s,1,1,1,1,1,1,false
7,04:12:48.612,target,BB Gun,0s,1,1,1,1,1,1,false
8,04:12:48.970,target,BB Gun,0s,1,1,1,1,1,1,false
9,04:12:49.445,target,BB Gun,0s,1,1,1,1,1,1,false
10,04:12:51.021,target,BB Gun,1.049s,3,1,0.333,1,3,0.333,false
11,04:12:51.237,target,BB Gun,0s,1,1,1,1,1,1,false
12,04:12:51.612,target,BB Gun,0s,1,1,1,1,1,1,false
13,04:12:51.887,target,BB Gun,0s,1,1,1,1,1,1,false
14,04:12:52.379,target,BB Gun,0s,1,1,1,1,1,1,false
15,04:12:52.754,target,BB Gun,0s,1,1,1,1,1,1,false
16,04:12:53.121,target,BB Gun,0s,1,1,1,1,1,1,false
17,04:12:53.546,target,BB Gun,0.001s,1,1,1,1,1,1,false
18,04:12:54.330,target,BB Gun,0.35s,2,1,0.5,1,2,0.5,false
19,04:12:54.713,target,BB Gun,0s,1,1,1,1,1,1,false
20,04:12:55.047,target,BB Gun,0.001s,1,1,1,1,1,1,false
21,04:12:55.563,target,BB Gun,0s,1,1,1,1,1,1,false
22,04:12:55.972,target,BB Gun,0s,1,1,1,1,1,1,false
23,04:12:56.263,target,BB Gun,0s,1,1,1,1,1,1,false
24,04:12:56.638,target,BB Gun,0s,1,1,1,1,1,1,false
25,04:12:56.988,target,BB Gun,0s,1,1,1,1,1,1,false
26,04:12:57.347,target,BB Gun,0.001s,1,1,1,1,1,1,false
27,04:12:58.072,target,BB Gun,0.3s,2,1,0.5,1,2,0.5,false
28,04:12:58.398,target,BB Gun,0s,1,1,1,1,1,1,false
29,04:12:58.940,target,BB Gun,0s,1,1,1,1,1,1,false
30,04:12:59.422,target,BB Gun,0s,1,1,1,1,1,1,false
31,04:12:59.714,target,BB Gun,0s,1,1,1,1,1,1,false
32,04:12:59.956,target,BB Gun,0s,1,1,1,1,1,1,false
33,04:13:00.581,target,BB Gun,0.001s,1,1,1,1,1,1,false
34,04:13:01.081,target,BB Gun,0s,1,1,1,1,1,1,false
35,04:13:01.297,target,BB Gun,0s,1,1,1,1,1,1,false
36,04:13:01.631,target,BB Gun,0s,1,1,1,1,1,1,false
37,04:13:01.932,target,BB Gun,0s,1,1,1,1,1,1,false
38,04:13:02.406,target,BB Gun,0s,1,1,1,1,1,1,false
39,04:13:02.873,target,BB Gun,0s,1,1,1,1,1,1,false
40,04:13:03.215,target,BB Gun,0s,1,1,1,1,1,1,false
41,04:13:03.848,target,BB Gun,0s,1,1,1,1,1,1,false
42,04:13:04.190,target,BB Gun,0s,1,1,1,1,1,1,false
43,04:13:04.633,target,BB Gun,0.001s,1,1,1,1,1,1,false
44,04:13:05.090,target,BB Gun,0s,1,1,1,1,1,1,false
45,04:13:05.832,target,BB Gun,0.308s,2,1,0.5,1,2,0.5,false
46,04:13:06.557,target,BB Gun,0s,1,1,1,1,1,1,false
47,04:13:06.957,target,BB Gun,0s,1,1,1,1,1,1,false
48,04:13:07.432,target,BB Gun,0.001s,1,1,1,1,1,1,false
49,04:13:08.015,target,BB Gun,0s,1,1,1,1,1,1,false
50,04:13:08.416,target,BB Gun,0s,1,1,1,1,1,1,false
51,04:13:08.699,target,BB Gun,0s,1,1,1,1,1,1,false
52,04:13:09.241,target,BB Gun,0s,1,1,1,1,1,1,false
53,04:13:09.649,target,BB Gun,0s,1,1,1,1,1,1,false
54,04:13:10.108,target,BB Gun,0s,1,1,1,1,1,1,false
55,04:13:10.583,target,BB Gun,0s,1,1,1,1,1,1,false
56,04:13:11.100,target,BB Gun,0s,1,1,1,1,1,1,false
57,04:13:11.683,target,BB Gun,0s,1,1,1,1,1,1,false
58,04:13:11.966,target,BB Gun,0s,1,1,1,1,1,1,false
59,04:13:12.419,target,BB Gun,0s,1,1,1,1,1,1,false
60,04:13:12.975,target,BB Gun,0s,1,1,1,1,1,1,false
61,04:13:13.609,target,BB Gun,0.226s,2,1,0.5,1,2,0.5,false
62,04:13:13.901,target,BB Gun,0s,1,1,1,1,1,1,false
63,04:13:14.442,target,BB Gun,0s,1,1,1,1,1,1,false
64,04:13:14.733,target,BB Gun,0s,1,1,1,1,1,1,false
65,04:13:15.025,target,BB Gun,0s,1,1,1,1,1,1,false
66,04:13:15.517,target,BB Gun,0s,1,1,1,1,1,1,false
67,04:13:16.017,target,BB Gun,0s,1,1,1,1,1,1,false
68,04:13:16.743,target,BB Gun,0.001s,1,1,1,1,1,1,false
69,04:13:17.210,target,BB Gun,0.001s,1,1,1,1,1,1,false
70,04:13:17.601,target,BB Gun,0s,1,1,1,1,1,1,false
71,04:13:17.943,target,BB Gun,0s,1,1,1,1,1,1,false
72,04:13:18.442,target,BB Gun,0s,1,1,1,1,1,1,false
73,04:13:18.960,target,BB Gun,0s,1,1,1,1,1,1,false
74,04:13:19.443,target,BB Gun,0s,1,1,1,1,1,1,false
75,04:13:19.676,target,BB Gun,0s,1,1,1,1,1,1,false
76,04:13:20.109,target,BB Gun,0s,1,1,1,1,1,1,false
77,04:13:20.551,target,BB Gun,0s,1,1,1,1,1,1,false
78,04:13:20.944,target,BB Gun,0s,1,1,1,1,1,1,false
79,04:13:21.343,target,BB Gun,0s,1,1,1,1,1,1,false
80,04:13:21.635,target,BB Gun,0s,1,1,1,1,1,1,false
81,04:13:22.010,target,BB Gun,0s,1,1,1,1,1,1,false
82,04:13:22.468,target,BB Gun,0s,1,1,1,1,1,1,false
83,04:13:23.111,target,BB Gun,0.342s,2,1,0.5,1,2,0.5,false
84,04:13:23.444,target,BB Gun,0s,1,1,1,1,1,1,false
85,04:13:24.169,target,BB Gun,0.209s,2,1,0.5,1,2,0.5,false
86,04:13:24.461,target,BB Gun,0s,1,1,1,1,1,1,false
87,04:13:24.919,target,BB Gun,0s,1,1,1,1,1,1,false
88,04:13:25.402,target,BB Gun,0s,1,1,1,1,1,1,false
89,04:13:25.894,target,BB Gun,0s,1,1,1,1,1,1,false
90,04:13:26.103,target,BB Gun,0s,1,1,1,1,1,1,false
91,04:13:26.561,target,BB Gun,0s,1,1,1,1,1,1,false
92,04:13:27.095,target,BB Gun,0s,1,1,1,1,1,1,false
93,04:13:27.686,target,BB Gun,0s,1,1,1,1,1,1,false
94,04:13:28.111,target,BB Gun,0s,1,1,1,1,1,1,false
95,04:13:28.811,target,BB Gun,0.399s,2,1,0.5,1,2,0.5,false
96,04:13:29.153,target,BB Gun,0.001s,1,1,1,1,1,1,false
97,04:13:29.594,target,BB Gun,0s,1,1,1,1,1,1,false
98,04:13:29.886,target,BB Gun,0s,1,1,1,1,1,1,false
99,04:13:30.228,target,BB Gun,0s,1,1,1,1,1,1,false
100,04:13:30.569,target,BB Gun,0s,1,1,1,1,1,1,false
101,04:13:30.962,target,BB Gun,0s,1,1,1,1,1,1,false
102,04:13:31.412,target,BB Gun,0s,1,1,1,1,1,1,false
103,04:13:32.045,target,BB Gun,0s,1,1,1,1,1,1,false
104,04:13:32.545,target,BB Gun,0s,1,1,1,1,1,1,false
105,04:13:33.070,target,BB Gun,0s,1,1,1,1,1,1,false
106,04:13:33.362,target,BB Gun,0s,1,1,1,1,1,1,false
107,04:13:34.046,target,BB Gun,0.343s,2,1,0.5,1,2,0.5,false
108,04:13:34.797,target,BB Gun,0.385s,2,1,0.5,1,2,0.5,false
109,04:13:35.246,target,BB Gun,0.001s,1,1,1,1,1,1,false
110,04:13:35.854,target,BB Gun,0s,1,1,1,1,1,1,false
111,04:13:36.196,target,BB Gun,0.001s,1,1,1,1,1,1,false
112,04:13:36.646,target,BB Gun,0s,1,1,1,1,1,1,false
113,04:13:37.030,target,BB Gun,0s,1,1,1,1,1,1,false
114,04:13:37.463,target,BB Gun,0s,1,1,1,1,1,1,false
115,04:13:37.913,target,BB Gun,0s,1,1,1,1,1,1,false
116,04:13:38.621,target,BB Gun,0s,1,1,1,1,1,1,false
117,04:13:38.879,target,BB Gun,0s,1,1,1,1,1,1,false
118,04:13:39.204,target,BB Gun,0s,1,1,1,1,1,1,false
119,04:13:39.696,target,BB Gun,0s,1,1,1,1,1,1,false
120,04:13:39.963,target,BB Gun,0s,1,1,1,1,1,1,false
