Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:17:07.366,target,pistol mini,0s,1,1,1,25,50,0.5,false
2,22:17:07.725,target,pistol mini,0s,1,1,1,25,50,0.5,false
3,22:17:08.001,target,pistol mini,0s,1,1,1,25,50,0.5,false
4,22:17:08.267,target,pistol mini,0s,1,1,1,25,50,0.5,false
5,22:17:08.475,target,pistol mini,0s,1,1,1,25,50,0.5,false
6,22:17:08.767,target,pistol mini,0s,1,1,1,25,50,0.5,false
7,22:17:08.983,target,pistol mini,0s,1,1,1,25,50,0.5,false
8,22:17:09.317,target,pistol mini,0s,1,1,1,25,50,0.5,false
9,22:17:09.609,target,pistol mini,0s,1,1,1,25,50,0.5,false
10,22:17:09.884,target,pistol mini,0s,1,1,1,25,50,0.5,false
11,22:17:10.109,target,pistol mini,0s,1,1,1,25,50,0.5,false
12,22:17:10.326,target,pistol mini,0s,1,1,1,25,50,0.5,false
13,22:17:10.542,target,pistol mini,0s,1,1,1,25,50,0.5,false
14,22:17:10.759,target,pistol mini,0s,1,1,1,25,50,0.5,false
15,22:17:11.010,target,pistol mini,0s,1,1,1,25,50,0.5,false
16,22:17:11.293,target,pistol mini,0s,1,1,1,25,50,0.5,false
17,22:17:11.585,target,pistol mini,0s,1,1,1,25,50,0.5,false
18,22:17:11.852,target,pistol mini,0s,1,1,1,25,50,0.5,false
19,22:17:12.153,target,pistol mini,0s,1,1,1,25,50,0.5,false
20,22:17:12.393,target,pistol mini,0s,1,1,1,25,50,0.5,false
21,22:17:12.668,target,pistol mini,0s,1,1,1,25,50,0.5,false
22,22:17:12.935,target,pistol mini,0s,1,1,1,25,50,0.5,false
23,22:17:13.244,target,pistol mini,0s,1,1,1,25,50,0.5,false
24,22:17:13.603,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
25,22:17:13.877,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
26,22:17:14.143,target,pistol mini,0s,1,1,1,25,50,0.5,false
27,22:17:14.361,target,pistol mini,0s,1,1,1,25,50,0.5,false
28,22:17:14.627,target,pistol mini,0s,1,1,1,25,50,0.5,false
29,22:17:14.877,target,pistol mini,0s,1,1,1,25,50,0.5,false
30,22:17:15.061,target,pistol mini,0s,1,1,1,25,50,0.5,false
