Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:39:49.163,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
2,20:39:49.521,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
3,20:39:49.746,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
4,20:39:50.163,TileFrenzy Cube,LG,0.183s,5,5,1,30,30,1,false
5,20:39:50.714,TileFrenzy Cube,LG,0.325s,8,6,0.75,36,48,0.75,false
6,20:39:50.730,TileFrenzy Cube,LG,0s,1,1,1,6,6,1,false
7,20:39:51.323,TileFrenzy Cube,LG,0.316s,8,4,0.5,24,48,0.5,false
8,20:39:51.588,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
9,20:39:51.738,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
10,20:39:52.280,TileFrenzy Cube,LG,0.325s,8,4,0.5,24,48,0.5,false
11,20:39:52.555,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
12,20:39:52.938,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
13,20:39:53.247,TileFrenzy Cube,LG,0.183s,5,4,0.8,24,30,0.8,false
14,20:39:53.614,TileFrenzy Cube,LG,0.183s,5,4,0.8,24,30,0.8,false
15,20:39:53.797,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
16,20:39:54.255,TileFrenzy Cube,LG,0.326s,8,6,0.75,36,48,0.75,false
17,20:39:54.856,TileFrenzy Cube,LG,0.458s,11,7,0.636,42,66,0.636,false
18,20:39:54.955,TileFrenzy Cube,LG,0s,1,1,1,6,6,1,false
19,20:39:55.498,TileFrenzy Cube,LG,0.317s,8,2,0.25,12,48,0.25,false
20,20:39:55.773,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
21,20:39:56.056,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
22,20:39:56.373,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
23,20:39:56.648,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
24,20:39:56.881,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
25,20:39:57.031,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
26,20:39:57.431,TileFrenzy Cube,LG,0.275s,7,4,0.571,24,42,0.571,false
27,20:39:57.582,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
28,20:39:58.031,TileFrenzy Cube,LG,0.234s,6,4,0.667,24,36,0.667,false
29,20:39:58.348,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
30,20:39:58.673,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
31,20:39:58.999,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
32,20:39:59.273,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
33,20:39:59.457,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
34,20:39:59.823,TileFrenzy Cube,LG,0.224s,6,5,0.833,30,36,0.833,false
35,20:39:59.923,TileFrenzy Cube,LG,0.092s,3,3,1,18,18,1,false
36,20:40:00.465,TileFrenzy Cube,LG,0.318s,8,4,0.5,24,48,0.5,false
37,20:40:00.790,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
38,20:40:01.573,TileFrenzy Cube,LG,0.551s,13,7,0.538,42,78,0.538,false
39,20:40:01.890,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
40,20:40:01.948,TileFrenzy Cube,LG,0s,1,1,1,6,6,1,false
41,20:40:02.307,TileFrenzy Cube,LG,0.233s,6,4,0.667,24,36,0.667,false
42,20:40:02.457,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
43,20:40:02.907,TileFrenzy Cube,LG,0.274s,7,4,0.571,24,42,0.571,false
44,20:40:03.182,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
45,20:40:03.458,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
46,20:40:03.783,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
47,20:40:04.333,TileFrenzy Cube,LG,0.366s,9,7,0.778,42,54,0.778,false
48,20:40:04.658,TileFrenzy Cube,LG,0.233s,6,5,0.833,30,36,0.833,false
49,20:40:04.807,TileFrenzy Cube,LG,0.091s,3,3,1,18,18,1,false
50,20:40:05.249,TileFrenzy Cube,LG,0.275s,7,4,0.571,24,42,0.571,false
51,20:40:05.357,TileFrenzy Cube,LG,0.001s,1,1,1,6,6,1,false
52,20:40:06.216,TileFrenzy Cube,LG,0.6s,14,6,0.429,36,84,0.429,false
53,20:40:06.308,TileFrenzy Cube,LG,0.05s,2,2,1,12,12,1,false
54,20:40:06.817,TileFrenzy Cube,LG,0.275s,7,5,0.714,30,42,0.714,false
55,20:40:07.091,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
56,20:40:07.367,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
57,20:40:07.474,TileFrenzy Cube,LG,0.092s,3,3,1,18,18,1,false
58,20:40:08.250,TileFrenzy Cube,LG,0.5s,12,6,0.5,36,72,0.5,false
59,20:40:08.567,TileFrenzy Cube,LG,0.092s,3,2,0.667,12,18,0.667,false
60,20:40:08.791,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
61,20:40:08.942,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
62,20:40:09.449,TileFrenzy Cube,LG,0.234s,6,4,0.667,24,36,0.667,false
63,20:40:10.325,TileFrenzy Cube,LG,0.6s,14,7,0.5,42,84,0.5,false
64,20:40:10.734,TileFrenzy Cube,LG,0.134s,4,1,0.25,6,24,0.25,false
65,20:40:11.050,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
66,20:40:11.417,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
67,20:40:11.733,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
68,20:40:12.059,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
