Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:07:16.228,Quaker Bot Long Strafes,LG,0.557s,57,20,0.351,100,285,0.351,false
2,22:07:17.670,Quaker Bot Long Strafes,LG,1.117s,113,20,0.177,100,565,0.177,false
3,22:07:18.770,Quaker Bot Long Strafes,LG,0.732s,75,20,0.267,100,375,0.267,false
4,22:07:19.453,Quaker Bot Long Strafes,LG,0.334s,35,20,0.571,100,175,0.571,false
5,22:07:20.953,Quaker Bot Long Strafes,LG,1.159s,111,20,0.18,100,555,0.18,false
6,22:07:21.846,Quaker Bot Long Strafes,LG,0.49s,51,20,0.392,100,255,0.392,false
7,22:07:22.571,Quaker Bot Long Strafes,LG,0.425s,44,20,0.455,100,220,0.455,false
8,22:07:23.363,Quaker Bot Long Strafes,LG,0.474s,49,20,0.408,100,245,0.408,false
9,22:07:24.479,Quaker Bot Long Strafes,LG,0.873s,89,20,0.225,100,445,0.225,false
10,22:07:25.355,Quaker Bot Long Strafes,LG,0.516s,53,20,0.377,100,265,0.377,false
11,22:07:26.746,Quaker Bot Long Strafes,LG,1.041s,106,38,0.358,190,530,0.358,false
12,22:07:26.755,Quaker Bot Long Strafes,LG,0.008s,2,2,1,10,10,1,false
13,22:07:28.314,Quaker Bot Long Strafes,LG,1.409s,129,20,0.155,100,645,0.155,false
14,22:07:29.215,Quaker Bot Long Strafes,LG,0.573s,59,20,0.339,100,295,0.339,false
15,22:07:30.906,Quaker Bot Long Strafes,LG,0.716s,73,20,0.274,100,365,0.274,false
16,22:07:32.165,Quaker Bot Long Strafes,LG,0.89s,91,20,0.22,100,455,0.22,false
17,22:07:33.557,Quaker Bot Long Strafes,LG,0.691s,71,20,0.282,100,355,0.282,false
18,22:07:34.391,Quaker Bot Long Strafes,LG,0.491s,51,20,0.392,100,255,0.392,false
19,22:07:35.207,Quaker Bot Long Strafes,LG,0.524s,54,20,0.37,100,270,0.37,false
20,22:07:36.469,Quaker Bot Long Strafes,LG,0.866s,79,20,0.253,100,395,0.253,false
21,22:07:37.185,Quaker Bot Long Strafes,LG,0.467s,35,20,0.571,100,175,0.571,false
22,22:07:38.185,Quaker Bot Long Strafes,LG,0.608s,62,20,0.323,100,310,0.323,false
23,22:07:38.960,Quaker Bot Long Strafes,LG,0.634s,65,20,0.308,100,325,0.308,false
24,22:07:40.068,Quaker Bot Long Strafes,LG,0.867s,67,20,0.299,100,335,0.299,false
25,22:07:40.869,Quaker Bot Long Strafes,LG,0.65s,53,20,0.377,100,265,0.377,false
26,22:07:41.952,Quaker Bot Long Strafes,LG,0.667s,68,20,0.294,100,340,0.294,false
27,22:07:42.836,Quaker Bot Long Strafes,LG,0.651s,60,20,0.333,100,300,0.333,false
28,22:07:43.578,Quaker Bot Long Strafes,LG,0.433s,45,20,0.444,100,225,0.444,false
29,22:07:44.711,Quaker Bot Long Strafes,LG,0.824s,52,20,0.385,100,260,0.385,false
30,22:07:45.570,Quaker Bot Long Strafes,LG,0.542s,56,20,0.357,100,280,0.357,false
31,22:07:46.162,Quaker Bot Long Strafes,LG,0.359s,37,20,0.541,100,185,0.541,false
32,22:07:46.770,Quaker Bot Long Strafes,LG,0.274s,29,20,0.69,100,145,0.69,false
33,22:07:47.820,Quaker Bot Long Strafes,LG,0.674s,69,20,0.29,100,345,0.29,false
34,22:07:48.604,Quaker Bot Long Strafes,LG,0.441s,46,20,0.435,100,230,0.435,false
35,22:07:49.154,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
36,22:07:49.612,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
37,22:07:50.371,Quaker Bot Long Strafes,LG,0.408s,42,20,0.476,100,210,0.476,false
38,22:07:51.196,Quaker Bot Long Strafes,LG,0.557s,57,20,0.351,100,285,0.351,false
39,22:07:51.987,Quaker Bot Long Strafes,LG,0.533s,55,20,0.364,100,275,0.364,false
40,22:07:52.790,Quaker Bot Long Strafes,LG,0.474s,49,20,0.408,100,245,0.408,false
41,22:07:53.604,Quaker Bot Long Strafes,LG,0.567s,58,20,0.345,100,290,0.345,false
42,22:07:54.980,Quaker Bot Long Strafes,LG,0.867s,88,20,0.227,100,440,0.227,false
43,22:07:55.964,Quaker Bot Long Strafes,LG,0.525s,54,20,0.37,100,270,0.37,false
44,22:07:57.464,Quaker Bot Long Strafes,LG,0.682s,70,20,0.286,100,350,0.286,false
45,22:07:58.431,Quaker Bot Long Strafes,LG,0.439s,46,20,0.435,100,230,0.435,false
46,22:07:59.206,Quaker Bot Long Strafes,LG,0.466s,48,20,0.417,100,240,0.417,false
47,22:08:00.172,Quaker Bot Long Strafes,LG,0.316s,33,20,0.606,100,165,0.606,false
48,22:08:00.899,Quaker Bot Long Strafes,LG,0.417s,43,20,0.465,100,215,0.465,false
49,22:08:01.549,Quaker Bot Long Strafes,LG,0.374s,39,20,0.513,100,195,0.513,false
50,22:08:02.234,Quaker Bot Long Strafes,LG,0.525s,54,20,0.37,100,270,0.37,false
51,22:08:02.950,Quaker Bot Long Strafes,LG,0.316s,33,20,0.606,100,165,0.606,false
52,22:08:03.934,Quaker Bot Long Strafes,LG,0.716s,73,20,0.274,100,365,0.274,false
53,22:08:04.575,Quaker Bot Long Strafes,LG,0.284s,30,20,0.667,100,150,0.667,false
54,22:08:05.442,Quaker Bot Long Strafes,LG,0.242s,26,20,0.769,100,130,0.769,false
55,22:08:06.334,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
56,22:08:06.959,Quaker Bot Long Strafes,LG,0.375s,29,20,0.69,100,145,0.69,false
