Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:08:22.316,Quaker Bot Long Strafes,LG,0.473s,49,20,0.408,100,245,0.408,false
2,22:08:23.208,Quaker Bot Long Strafes,LG,0.64s,66,20,0.303,100,330,0.303,false
3,22:08:23.858,Quaker Bot Long Strafes,LG,0.342s,36,20,0.556,100,180,0.556,false
4,22:08:24.308,Quaker Bot Long Strafes,LG,0.184s,20,20,1,100,100,1,false
5,22:08:25.592,Quaker Bot Long Strafes,LG,0.974s,99,20,0.202,100,495,0.202,false
6,22:08:26.292,Quaker Bot Long Strafes,LG,0.432s,45,20,0.444,100,225,0.444,false
7,22:08:27.109,Quaker Bot Long Strafes,LG,0.492s,51,20,0.392,100,255,0.392,false
8,22:08:28.184,Quaker Bot Long Strafes,LG,0.517s,53,20,0.377,100,265,0.377,false
9,22:08:29.443,Quaker Bot Long Strafes,LG,0.942s,96,20,0.208,100,480,0.208,false
10,22:08:30.293,Quaker Bot Long Strafes,LG,0.492s,51,20,0.392,100,255,0.392,false
11,22:08:30.952,Quaker Bot Long Strafes,LG,0.184s,20,20,1,100,100,1,false
12,22:08:31.835,Quaker Bot Long Strafes,LG,0.583s,60,20,0.333,100,300,0.333,false
13,22:08:32.569,Quaker Bot Long Strafes,LG,0.408s,42,20,0.476,100,210,0.476,false
14,22:08:33.344,Quaker Bot Long Strafes,LG,0.591s,61,20,0.328,100,305,0.328,false
15,22:08:34.291,Quaker Bot Long Strafes,LG,0.679s,69,20,0.29,100,345,0.29,false
16,22:08:35.299,Quaker Bot Long Strafes,LG,0.624s,55,20,0.364,100,275,0.364,false
17,22:08:36.274,Quaker Bot Long Strafes,LG,0.39s,41,20,0.488,100,205,0.488,false
18,22:08:36.716,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
19,22:08:38.391,Quaker Bot Long Strafes,LG,0.899s,63,31,0.492,155,315,0.492,false
20,22:08:39.493,Quaker Bot Long Strafes,LG,0.859s,76,9,0.118,45,380,0.118,false
21,22:08:40.301,Quaker Bot Long Strafes,LG,0.275s,29,20,0.69,100,145,0.69,false
22,22:08:41.035,Quaker Bot Long Strafes,LG,0.492s,51,20,0.392,100,255,0.392,false
23,22:08:41.827,Quaker Bot Long Strafes,LG,0.532s,55,20,0.364,100,275,0.364,false
24,22:08:42.602,Quaker Bot Long Strafes,LG,0.466s,48,20,0.417,100,240,0.417,false
25,22:08:43.218,Quaker Bot Long Strafes,LG,0.342s,36,20,0.556,100,180,0.556,false
26,22:08:44.094,Quaker Bot Long Strafes,LG,0.441s,46,20,0.435,100,230,0.435,false
27,22:08:44.593,Quaker Bot Long Strafes,LG,0.225s,24,20,0.833,100,120,0.833,false
28,22:08:45.153,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
29,22:08:46.336,Quaker Bot Long Strafes,LG,0.816s,83,20,0.241,100,415,0.241,false
30,22:08:46.995,Quaker Bot Long Strafes,LG,0.343s,36,20,0.556,100,180,0.556,false
31,22:08:47.903,Quaker Bot Long Strafes,LG,0.574s,59,20,0.339,100,295,0.339,false
32,22:08:48.637,Quaker Bot Long Strafes,LG,0.408s,42,20,0.476,100,210,0.476,false
33,22:08:49.354,Quaker Bot Long Strafes,LG,0.415s,43,20,0.465,100,215,0.465,false
34,22:08:50.312,Quaker Bot Long Strafes,LG,0.584s,47,20,0.426,100,235,0.426,false
35,22:08:51.321,Quaker Bot Long Strafes,LG,0.633s,65,20,0.308,100,325,0.308,false
36,22:08:52.046,Quaker Bot Long Strafes,LG,0.267s,28,20,0.714,100,140,0.714,false
37,22:08:53.004,Quaker Bot Long Strafes,LG,0.525s,54,20,0.37,100,270,0.37,false
38,22:08:54.180,Quaker Bot Long Strafes,LG,0.841s,86,20,0.233,100,430,0.233,false
39,22:08:54.688,Quaker Bot Long Strafes,LG,0.191s,21,20,0.952,100,105,0.952,false
40,22:08:55.563,Quaker Bot Long Strafes,LG,0.516s,53,20,0.377,100,265,0.377,false
41,22:08:56.938,Quaker Bot Long Strafes,LG,0.991s,80,20,0.25,100,400,0.25,false
42,22:08:57.414,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
43,22:08:58.255,Quaker Bot Long Strafes,LG,0.484s,50,20,0.4,100,250,0.4,false
44,22:08:59.105,Quaker Bot Long Strafes,LG,0.516s,53,20,0.377,100,265,0.377,false
45,22:08:59.756,Quaker Bot Long Strafes,LG,0.241s,26,20,0.769,100,130,0.769,false
46,22:09:00.656,Quaker Bot Long Strafes,LG,0.517s,53,20,0.377,100,265,0.377,false
47,22:09:01.556,Quaker Bot Long Strafes,LG,0.525s,54,20,0.37,100,270,0.37,false
48,22:09:02.698,Quaker Bot Long Strafes,LG,0.358s,37,20,0.541,100,185,0.541,false
49,22:09:03.306,Quaker Bot Long Strafes,LG,0.358s,37,20,0.541,100,185,0.541,false
50,22:09:03.782,Quaker Bot Long Strafes,LG,0.258s,27,20,0.741,100,135,0.741,false
51,22:09:04.916,Quaker Bot Long Strafes,LG,0.616s,63,20,0.317,100,315,0.317,false
52,22:09:05.548,Quaker Bot Long Strafes,LG,0.357s,37,20,0.541,100,185,0.541,false
53,22:09:06.541,Quaker Bot Long Strafes,LG,0.617s,63,20,0.317,100,315,0.317,false
54,22:09:07.108,Quaker Bot Long Strafes,LG,0.215s,23,20,0.87,100,115,0.87,false
55,22:09:07.793,Quaker Bot Long Strafes,LG,0.541s,41,20,0.488,100,205,0.488,false
56,22:09:08.575,Quaker Bot Long Strafes,LG,0.509s,52,20,0.385,100,260,0.385,false
57,22:09:09.074,Quaker Bot Long Strafes,LG,0.182s,20,20,1,100,100,1,false
58,22:09:09.908,Quaker Bot Long Strafes,LG,0.441s,46,20,0.435,100,230,0.435,false
59,22:09:10.475,Quaker Bot Long Strafes,LG,0.258s,27,20,0.741,100,135,0.741,false
