Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:42:13.715,target,BB Gun,0s,1,1,1,1,1,1,false
2,01:42:14.266,target,BB Gun,0s,1,1,1,1,1,1,false
3,01:42:14.766,target,BB Gun,0s,1,1,1,1,1,1,false
4,01:42:15.016,target,BB Gun,0s,1,1,1,1,1,1,false
5,01:42:15.266,target,BB Gun,0s,1,1,1,1,1,1,false
6,01:42:15.575,target,BB Gun,0s,1,1,1,1,1,1,false
7,01:42:15.951,target,BB Gun,0s,1,1,1,1,1,1,false
8,01:42:16.225,target,BB Gun,0s,1,1,1,1,1,1,false
9,01:42:16.676,target,BB Gun,0s,1,1,1,1,1,1,false
10,01:42:16.908,target,BB Gun,0s,1,1,1,1,1,1,false
11,01:42:17.301,target,BB Gun,0s,1,1,1,1,1,1,false
12,01:42:17.559,target,BB Gun,0s,1,1,1,1,1,1,false
13,01:42:17.993,target,BB Gun,0s,1,1,1,1,1,1,false
14,01:42:18.318,target,BB Gun,0s,1,1,1,1,1,1,false
15,01:42:18.769,target,BB Gun,0s,1,1,1,1,1,1,false
16,01:42:19.235,target,BB Gun,0.001s,1,1,1,1,1,1,false
17,01:42:19.527,target,BB Gun,0s,1,1,1,1,1,1,false
18,01:42:19.877,target,BB Gun,0s,1,1,1,1,1,1,false
19,01:42:20.344,target,BB Gun,0s,1,1,1,1,1,1,false
20,01:42:20.619,target,BB Gun,0s,1,1,1,1,1,1,false
21,01:42:20.953,target,BB Gun,0s,1,1,1,1,1,1,false
22,01:42:21.478,target,BB Gun,0s,1,1,1,1,1,1,false
23,01:42:21.945,target,BB Gun,0s,1,1,1,1,1,1,false
24,01:42:22.453,target,BB Gun,0s,1,1,1,1,1,1,false
25,01:42:22.678,target,BB Gun,0s,1,1,1,1,1,1,false
26,01:42:22.903,target,BB Gun,0s,1,1,1,1,1,1,false
27,01:42:23.336,target,BB Gun,0s,1,1,1,1,1,1,false
28,01:42:23.670,target,BB Gun,0s,1,1,1,1,1,1,false
29,01:42:23.888,target,BB Gun,0.001s,1,1,1,1,1,1,false
30,01:42:24.270,target,BB Gun,0s,1,1,1,1,1,1,false
31,01:42:24.747,target,BB Gun,0.001s,1,1,1,1,1,1,false
32,01:42:25.037,target,BB Gun,0s,1,1,1,1,1,1,false
33,01:42:25.254,target,BB Gun,0s,1,1,1,1,1,1,false
34,01:42:26.188,target,BB Gun,0.325s,2,1,0.5,1,2,0.5,false
35,01:42:26.705,target,BB Gun,0.001s,1,1,1,1,1,1,false
36,01:42:27.154,target,BB Gun,0s,1,1,1,1,1,1,false
37,01:42:27.530,target,BB Gun,0s,1,1,1,1,1,1,false
38,01:42:27.963,target,BB Gun,0s,1,1,1,1,1,1,false
39,01:42:28.505,target,BB Gun,0s,1,1,1,1,1,1,false
40,01:42:28.845,target,BB Gun,0s,1,1,1,1,1,1,false
41,01:42:29.270,target,BB Gun,0s,1,1,1,1,1,1,false
42,01:42:29.770,target,BB Gun,0s,1,1,1,1,1,1,false
43,01:42:30.186,target,BB Gun,0s,1,1,1,1,1,1,false
44,01:42:30.637,target,BB Gun,0s,1,1,1,1,1,1,false
45,01:42:30.904,target,BB Gun,0.001s,1,1,1,1,1,1,false
46,01:42:31.262,target,BB Gun,0.001s,1,1,1,1,1,1,false
47,01:42:31.528,target,BB Gun,0s,1,1,1,1,1,1,false
48,01:42:31.979,target,BB Gun,0s,1,1,1,1,1,1,false
49,01:42:32.254,target,BB Gun,0s,1,1,1,1,1,1,false
50,01:42:32.672,target,BB Gun,0s,1,1,1,1,1,1,false
51,01:42:33.122,target,BB Gun,0s,1,1,1,1,1,1,false
52,01:42:33.580,target,BB Gun,0s,1,1,1,1,1,1,false
53,01:42:33.780,target,BB Gun,0s,1,1,1,1,1,1,false
54,01:42:34.322,target,BB Gun,0s,1,1,1,1,1,1,false
55,01:42:34.672,target,BB Gun,0s,1,1,1,1,1,1,false
56,01:42:34.997,target,BB Gun,0s,1,1,1,1,1,1,false
57,01:42:35.256,target,BB Gun,0.001s,1,1,1,1,1,1,false
58,01:42:35.573,target,BB Gun,0.001s,1,1,1,1,1,1,false
59,01:42:35.797,target,BB Gun,0s,1,1,1,1,1,1,false
60,01:42:36.115,target,BB Gun,0.001s,1,1,1,1,1,1,false
61,01:42:36.389,target,BB Gun,0s,1,1,1,1,1,1,false
62,01:42:36.882,target,BB Gun,0s,1,1,1,1,1,1,false
63,01:42:37.406,target,BB Gun,0.274s,2,1,0.5,1,2,0.5,false
64,01:42:37.807,target,BB Gun,0s,1,1,1,1,1,1,false
65,01:42:38.239,target,BB Gun,0s,1,1,1,1,1,1,false
66,01:42:38.690,target,BB Gun,0s,1,1,1,1,1,1,false
67,01:42:38.899,target,BB Gun,0.001s,1,1,1,1,1,1,false
68,01:42:39.316,target,BB Gun,0s,1,1,1,1,1,1,false
69,01:42:39.714,target,BB Gun,0s,1,1,1,1,1,1,false
70,01:42:39.990,target,BB Gun,0s,1,1,1,1,1,1,false
71,01:42:40.249,target,BB Gun,0s,1,1,1,1,1,1,false
72,01:42:40.482,target,BB Gun,0s,1,1,1,1,1,1,false
73,01:42:40.940,target,BB Gun,0s,1,1,1,1,1,1,false
74,01:42:41.307,target,BB Gun,0s,1,1,1,1,1,1,false
75,01:42:41.576,target,BB Gun,0s,1,1,1,1,1,1,false
76,01:42:42.050,target,BB Gun,0s,1,1,1,1,1,1,false
77,01:42:42.426,target,BB Gun,0s,1,1,1,1,1,1,false
78,01:42:42.793,target,BB Gun,0s,1,1,1,1,1,1,false
79,01:42:43.026,target,BB Gun,0s,1,1,1,1,1,1,false
80,01:42:43.453,target,BB Gun,0s,1,1,1,1,1,1,false
81,01:42:43.994,target,BB Gun,0s,1,1,1,1,1,1,false
82,01:42:44.261,target,BB Gun,0s,1,1,1,1,1,1,false
83,01:42:44.628,target,BB Gun,0s,1,1,1,1,1,1,false
84,01:42:44.944,target,BB Gun,0s,1,1,1,1,1,1,false
85,01:42:45.337,target,BB Gun,0s,1,1,1,1,1,1,false
86,01:42:45.695,target,BB Gun,0s,1,1,1,1,1,1,false
87,01:42:46.162,target,BB Gun,0s,1,1,1,1,1,1,false
88,01:42:46.736,target,BB Gun,0s,1,1,1,1,1,1,false
89,01:42:47.004,target,BB Gun,0s,1,1,1,1,1,1,false
90,01:42:47.504,target,BB Gun,0s,1,1,1,1,1,1,false
91,01:42:47.929,target,BB Gun,0s,1,1,1,1,1,1,false
92,01:42:48.204,target,BB Gun,0s,1,1,1,1,1,1,false
93,01:42:48.612,target,BB Gun,0s,1,1,1,1,1,1,false
94,01:42:48.962,target,BB Gun,0s,1,1,1,1,1,1,false
95,01:42:49.938,target,BB Gun,0.567s,2,1,0.5,1,2,0.5,false
96,01:42:50.272,target,BB Gun,0.001s,1,1,1,1,1,1,false
97,01:42:50.838,target,BB Gun,0s,1,1,1,1,1,1,false
98,01:42:51.180,target,BB Gun,0s,1,1,1,1,1,1,false
99,01:42:51.413,target,BB Gun,0s,1,1,1,1,1,1,false
100,01:42:52.474,target,BB Gun,0.678s,3,1,0.333,1,3,0.333,false
101,01:42:52.807,target,BB Gun,0s,1,1,1,1,1,1,false
102,01:42:53.250,target,BB Gun,0s,1,1,1,1,1,1,false
103,01:42:53.626,target,BB Gun,0s,1,1,1,1,1,1,false
104,01:42:54.110,target,BB Gun,0.001s,1,1,1,1,1,1,false
105,01:42:54.318,target,BB Gun,0s,1,1,1,1,1,1,false
106,01:42:54.776,target,BB Gun,0s,1,1,1,1,1,1,false
107,01:42:55.268,target,BB Gun,0s,1,1,1,1,1,1,false
108,01:42:55.835,target,BB Gun,0s,1,1,1,1,1,1,false
109,01:42:56.286,target,BB Gun,0s,1,1,1,1,1,1,false
110,01:42:56.728,target,BB Gun,0s,1,1,1,1,1,1,false
111,01:42:57.186,target,BB Gun,0s,1,1,1,1,1,1,false
112,01:42:57.594,target,BB Gun,0s,1,1,1,1,1,1,false
113,01:42:58.094,target,BB Gun,0s,1,1,1,1,1,1,false
114,01:42:58.603,target,BB Gun,0s,1,1,1,1,1,1,false
115,01:42:58.995,target,BB Gun,0s,1,1,1,1,1,1,false
116,01:42:59.262,target,BB Gun,0s,1,1,1,1,1,1,false
117,01:42:59.620,target,BB Gun,0s,1,1,1,1,1,1,false
118,01:43:00.245,target,BB Gun,0.274s,2,1,0.5,1,2,0.5,false
119,01:43:00.537,target,BB Gun,0.001s,1,1,1,1,1,1,false
120,01:43:00.946,target,BB Gun,0.001s,1,1,1,1,1,1,false
121,01:43:01.236,target,BB Gun,0s,1,1,1,1,1,1,false
122,01:43:01.679,target,BB Gun,0s,1,1,1,1,1,1,false
123,01:43:02.088,target,BB Gun,0s,1,1,1,1,1,1,false
124,01:43:02.513,target,BB Gun,0s,1,1,1,1,1,1,false
125,01:43:02.955,target,BB Gun,0.001s,1,1,1,1,1,1,false
126,01:43:03.238,target,BB Gun,0s,1,1,1,1,1,1,false
127,01:43:03.505,target,BB Gun,0s,1,1,1,1,1,1,false
128,01:43:03.938,target,BB Gun,0s,1,1,1,1,1,1,false
129,01:43:04.422,target,BB Gun,0s,1,1,1,1,1,1,false
130,01:43:04.897,target,BB Gun,0s,1,1,1,1,1,1,false
131,01:43:05.372,target,BB Gun,0s,1,1,1,1,1,1,false
132,01:43:05.764,target,BB Gun,0s,1,1,1,1,1,1,false
133,01:43:06.298,target,BB Gun,0.284s,2,1,0.5,1,2,0.5,false
134,01:43:06.821,target,BB Gun,0s,1,1,1,1,1,1,false
135,01:43:07.204,target,BB Gun,0s,1,1,1,1,1,1,false
136,01:43:07.705,target,BB Gun,0s,1,1,1,1,1,1,false
137,01:43:07.938,target,BB Gun,0s,1,1,1,1,1,1,false
138,01:43:08.430,target,BB Gun,0s,1,1,1,1,1,1,false
139,01:43:09.281,target,BB Gun,0.509s,2,1,0.5,1,2,0.5,false
140,01:43:09.688,target,BB Gun,0s,1,1,1,1,1,1,false
141,01:43:10.147,target,BB Gun,0s,1,1,1,1,1,1,false
142,01:43:10.572,target,BB Gun,0s,1,1,1,1,1,1,false
143,01:43:11.284,target,BB Gun,0s,1,1,1,1,1,1,false
144,01:43:11.568,target,BB Gun,0.001s,1,1,1,1,1,1,false
145,01:43:12.009,target,BB Gun,0s,1,1,1,1,1,1,false
146,01:43:12.225,target,BB Gun,0s,1,1,1,1,1,1,false
147,01:43:12.435,target,BB Gun,0.001s,1,1,1,1,1,1,false
148,01:43:12.642,target,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,156,148,148.0,156.0,

Kills:,148
Deaths:,0
Fight Time:,2.928
Avg TTK:,0
Damage Done:,148.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,140.410263
Scenario:,1wall6targets TE
Hash:,3e50391f3c3f484c10a4b8fb362ded17
Game Version:,2.0.3.2
Challenge Start:,01:42:06.280

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Overwatch
Horiz Sens:,4.64
Vert Sens:,4.64
FOV:,90.0
Hide Gun:,false
