Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:34:38.814,Quaker Bot Long Strafes,LG,1.316s,101,20,0.198,100,505,0.198,false
2,01:34:39.488,Quaker Bot Long Strafes,LG,0.358s,37,20,0.541,100,185,0.541,false
3,01:34:40.505,Quaker Bot Long Strafes,LG,0.725s,74,20,0.27,100,370,0.27,false
4,01:34:41.465,Quaker Bot Long Strafes,LG,0.617s,63,20,0.317,100,315,0.317,false
5,01:34:42.048,Quaker Bot Long Strafes,LG,0.407s,42,20,0.476,100,210,0.476,false
6,01:34:42.690,Quaker Bot Long Strafes,LG,0.341s,36,20,0.556,100,180,0.556,false
7,01:34:43.273,Quaker Bot Long Strafes,LG,0.324s,34,20,0.588,100,170,0.588,false
8,01:34:43.969,Quaker Bot Long Strafes,LG,0.485s,50,20,0.4,100,250,0.4,false
9,01:34:44.603,Quaker Bot Long Strafes,LG,0.367s,38,20,0.526,100,190,0.526,false
10,01:34:45.552,Quaker Bot Long Strafes,LG,0.616s,63,20,0.317,100,315,0.317,false
11,01:34:46.045,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
12,01:34:46.819,Quaker Bot Long Strafes,LG,0.517s,53,20,0.377,100,265,0.377,false
13,01:34:47.411,Quaker Bot Long Strafes,LG,0.307s,32,20,0.625,100,160,0.625,false
14,01:34:47.920,Quaker Bot Long Strafes,LG,0.233s,25,20,0.8,100,125,0.8,false
15,01:34:49.693,Quaker Bot Long Strafes,LG,1.414s,128,20,0.156,100,640,0.156,false
16,01:34:50.518,Quaker Bot Long Strafes,LG,0.424s,44,20,0.455,100,220,0.455,false
17,01:34:51.343,Quaker Bot Long Strafes,LG,0.541s,56,20,0.357,100,280,0.357,false
18,01:34:52.210,Quaker Bot Long Strafes,LG,0.616s,63,20,0.317,100,315,0.317,false
19,01:34:52.919,Quaker Bot Long Strafes,LG,0.384s,40,20,0.5,100,200,0.5,false
20,01:34:53.885,Quaker Bot Long Strafes,LG,0.592s,61,20,0.328,100,305,0.328,false
21,01:34:54.403,Quaker Bot Long Strafes,LG,0.332s,35,20,0.571,100,175,0.571,false
22,01:34:55.102,Quaker Bot Long Strafes,LG,0.423s,44,20,0.455,100,220,0.455,false
23,01:34:56.082,Quaker Bot Long Strafes,LG,0.316s,35,20,0.571,100,175,0.571,false
24,01:34:57.166,Quaker Bot Long Strafes,LG,0.824s,84,20,0.238,100,420,0.238,false
25,01:34:58.000,Quaker Bot Long Strafes,LG,0.474s,49,20,0.408,100,245,0.408,false
26,01:34:58.624,Quaker Bot Long Strafes,LG,0.484s,39,20,0.513,100,195,0.513,false
27,01:34:59.219,Quaker Bot Long Strafes,LG,0.343s,36,20,0.556,100,180,0.556,false
28,01:34:59.853,Quaker Bot Long Strafes,LG,0.417s,43,20,0.465,100,215,0.465,false
29,01:35:00.637,Quaker Bot Long Strafes,LG,0.342s,36,20,0.556,100,180,0.556,false
