Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:41:02.086,target,BB Gun,0s,1,1,1,1,1,1,false
2,01:41:02.546,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,01:41:02.896,target,BB Gun,0s,1,1,1,1,1,1,false
4,01:41:03.280,target,BB Gun,0s,1,1,1,1,1,1,false
5,01:41:03.530,target,BB Gun,0s,1,1,1,1,1,1,false
6,01:41:03.863,target,BB Gun,0s,1,1,1,1,1,1,false
7,01:41:04.088,target,BB Gun,0s,1,1,1,1,1,1,false
8,01:41:04.422,target,BB Gun,0s,1,1,1,1,1,1,false
9,01:41:04.747,target,BB Gun,0s,1,1,1,1,1,1,false
10,01:41:05.122,target,BB Gun,0s,1,1,1,1,1,1,false
11,01:41:05.556,target,BB Gun,0.001s,1,1,1,1,1,1,false
12,01:41:05.773,target,BB Gun,0s,1,1,1,1,1,1,false
13,01:41:06.880,target,BB Gun,0.582s,2,1,0.5,1,2,0.5,false
14,01:41:07.140,target,BB Gun,0s,1,1,1,1,1,1,false
15,01:41:07.606,target,BB Gun,0s,1,1,1,1,1,1,false
16,01:41:07.965,target,BB Gun,0s,1,1,1,1,1,1,false
17,01:41:08.490,target,BB Gun,0s,1,1,1,1,1,1,false
18,01:41:08.740,target,BB Gun,0s,1,1,1,1,1,1,false
19,01:41:09.132,target,BB Gun,0s,1,1,1,1,1,1,false
20,01:41:09.658,target,BB Gun,0s,1,1,1,1,1,1,false
21,01:41:09.891,target,BB Gun,0s,1,1,1,1,1,1,false
22,01:41:10.208,target,BB Gun,0s,1,1,1,1,1,1,false
23,01:41:10.867,target,BB Gun,0.317s,2,1,0.5,1,2,0.5,false
24,01:41:11.176,target,BB Gun,0s,1,1,1,1,1,1,false
25,01:41:11.793,target,BB Gun,0s,1,1,1,1,1,1,false
26,01:41:12.777,target,BB Gun,0.693s,2,1,0.5,1,2,0.5,false
27,01:41:13.010,target,BB Gun,0.001s,1,1,1,1,1,1,false
28,01:41:13.351,target,BB Gun,0s,1,1,1,1,1,1,false
29,01:41:13.726,target,BB Gun,0s,1,1,1,1,1,1,false
30,01:41:14.120,target,BB Gun,0.001s,1,1,1,1,1,1,false
31,01:41:14.593,target,BB Gun,0s,1,1,1,1,1,1,false
32,01:41:15.043,target,BB Gun,0s,1,1,1,1,1,1,false
33,01:41:15.336,target,BB Gun,0.001s,1,1,1,1,1,1,false
34,01:41:15.760,target,BB Gun,0s,1,1,1,1,1,1,false
35,01:41:16.103,target,BB Gun,0s,1,1,1,1,1,1,false
36,01:41:16.394,target,BB Gun,0s,1,1,1,1,1,1,false
37,01:41:16.602,target,BB Gun,0s,1,1,1,1,1,1,false
38,01:41:17.019,target,BB Gun,0s,1,1,1,1,1,1,false
