Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:48:27.062,Pigeon,LG,0.534s,11,5,0.455,30,66,0.455,false
2,01:48:27.906,Pigeon,LG,0.426s,9,5,0.556,30,54,0.556,false
3,01:48:28.997,Pigeon,LG,0.7s,14,5,0.357,30,84,0.357,false
4,01:48:31.374,Pigeon,LG,1.7s,29,5,0.172,30,174,0.172,false
5,01:48:32.216,Pigeon,LG,0.481s,10,5,0.5,30,60,0.5,false
6,01:48:33.341,Pigeon,LG,0.75s,15,5,0.333,30,90,0.333,false
7,01:48:34.511,Pigeon,LG,0.752s,15,5,0.333,30,90,0.333,false
8,01:48:35.586,Pigeon,LG,0.7s,14,5,0.357,30,84,0.357,false
9,01:48:38.632,Pigeon,LG,2.686s,48,9,0.188,54,288,0.188,false
10,01:48:39.925,Pigeon,LG,0.641s,13,5,0.385,30,78,0.385,false
11,01:48:40.950,Pigeon,LG,0.426s,9,5,0.556,30,54,0.556,false
12,01:48:41.658,Pigeon,LG,0.374s,8,1,0.125,6,48,0.125,false
13,01:48:43.059,Pigeon,LG,0.7s,14,6,0.429,36,84,0.429,false
14,01:48:43.927,Pigeon,LG,0.535s,11,5,0.455,30,66,0.455,false
15,01:48:44.670,Pigeon,LG,0.316s,7,4,0.571,24,42,0.571,false
16,01:48:45.812,Pigeon,LG,0.749s,15,5,0.333,30,90,0.333,false
17,01:48:46.895,Pigeon,LG,0.533s,11,5,0.455,30,66,0.455,false
18,01:48:47.878,Pigeon,LG,0.591s,12,5,0.417,30,72,0.417,false
19,01:48:48.603,Pigeon,LG,0.424s,9,5,0.556,30,54,0.556,false
20,01:48:49.563,Pigeon,LG,0.532s,11,5,0.455,30,66,0.455,false
21,01:48:50.746,Pigeon,LG,0.807s,16,5,0.312,30,96,0.312,false
22,01:48:51.896,Pigeon,LG,0.641s,13,5,0.385,30,78,0.385,false
23,01:48:54.034,Pigeon,LG,1.621s,31,6,0.194,36,186,0.194,false
24,01:48:56.193,Pigeon,LG,1.767s,30,8,0.267,48,180,0.267,false
25,01:48:57.277,Pigeon,LG,0.699s,14,1,0.071,6,84,0.071,false
26,01:48:59.095,Pigeon,LG,1.408s,26,6,0.231,36,156,0.231,false
27,01:49:00.138,Pigeon,LG,0.591s,12,5,0.417,30,72,0.417,false
28,01:49:01.863,Pigeon,LG,1.291s,25,5,0.2,30,150,0.2,false
29,01:49:03.746,Pigeon,LG,1.383s,23,5,0.217,30,138,0.217,false
30,01:49:04.997,Pigeon,LG,0.984s,16,5,0.312,30,96,0.312,false
31,01:49:05.973,Pigeon,LG,0.641s,13,5,0.385,30,78,0.385,false
32,01:49:07.215,Pigeon,LG,0.482s,10,5,0.5,30,60,0.5,false
33,01:49:09.127,Pigeon,LG,1.561s,30,5,0.167,30,180,0.167,false
34,01:49:11.170,Pigeon,LG,1.401s,27,5,0.185,30,162,0.185,false
35,01:49:12.162,Pigeon,LG,0.424s,9,4,0.444,24,54,0.444,false
36,01:49:13.405,Pigeon,LG,0.809s,16,5,0.312,30,96,0.312,false
37,01:49:14.521,Pigeon,LG,0.64s,13,5,0.385,30,78,0.385,false
38,01:49:16.905,Pigeon,LG,1.942s,37,5,0.135,30,222,0.135,false
39,01:49:17.931,Pigeon,LG,0.426s,9,5,0.556,30,54,0.556,false
40,01:49:19.081,Pigeon,LG,0.7s,14,5,0.357,30,84,0.357,false
41,01:49:21.116,Pigeon,LG,1.709s,32,5,0.156,30,192,0.156,false
42,01:49:22.166,Pigeon,LG,0.641s,13,5,0.385,30,78,0.385,false
43,01:49:22.916,Pigeon,LG,0.375s,8,5,0.625,30,48,0.625,false
44,01:49:23.633,Pigeon,LG,0.375s,8,5,0.625,30,48,0.625,false
45,01:49:25.018,Pigeon,LG,0.59s,12,5,0.417,30,72,0.417,false
46,01:49:26.527,Pigeon,LG,1.024s,20,5,0.25,30,120,0.25,false
47,01:49:27.952,Pigeon,LG,1.075s,21,5,0.238,30,126,0.238,false
48,01:49:28.970,Pigeon,LG,0.749s,15,5,0.333,30,90,0.333,false
49,01:49:30.479,Pigeon,LG,1.267s,23,5,0.217,30,138,0.217,false
50,01:49:32.780,Pigeon,LG,1.458s,28,6,0.214,36,168,0.214,false
51,01:49:33.572,Pigeon,LG,0.424s,9,4,0.444,24,54,0.444,false
52,01:49:35.689,Pigeon,LG,1.675s,32,5,0.156,30,192,0.156,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,900,265,1590.0,5400.0,

Kills:,53
Deaths:,0
Fight Time:,46.613998
Avg TTK:,0
Damage Done:,1590.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,53.0
Scenario:,Bounce 180 Tracking
Hash:,34eb3c5e616da024acf883f4ac7ec524
Game Version:,2.0.3.2
Challenge Start:,01:48:25.821

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Overwatch
Horiz Sens:,4.64
Vert Sens:,4.64
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,140.99324
Resolution Scale,100.0
