Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:40:28.294,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
2,20:40:28.569,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
3,20:40:28.935,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
4,20:40:29.261,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
5,20:40:29.628,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
6,20:40:29.902,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
7,20:40:30.277,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
8,20:40:30.594,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
9,20:40:30.961,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
10,20:40:31.327,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
11,20:40:31.602,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
12,20:40:31.836,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
13,20:40:31.985,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
14,20:40:32.761,TileFrenzy Cube,LG,0.502s,12,7,0.583,42,72,0.583,false
15,20:40:32.986,TileFrenzy Cube,LG,0s,1,1,1,6,6,1,false
16,20:40:33.262,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
17,20:40:33.628,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
18,20:40:33.944,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
19,20:40:34.270,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
20,20:40:34.636,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
21,20:40:34.961,TileFrenzy Cube,LG,0.143s,4,4,1,24,24,1,false
22,20:40:35.236,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
23,20:40:35.562,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
24,20:40:35.879,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
25,20:40:36.246,TileFrenzy Cube,LG,0.183s,5,5,1,30,30,1,false
26,20:40:36.571,TileFrenzy Cube,LG,0.091s,3,3,1,18,18,1,false
27,20:40:37.171,TileFrenzy Cube,LG,0.365s,9,7,0.778,42,54,0.778,false
28,20:40:37.487,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
29,20:40:37.545,TileFrenzy Cube,LG,0s,1,1,1,6,6,1,false
30,20:40:38.088,TileFrenzy Cube,LG,0.325s,8,4,0.5,24,48,0.5,false
31,20:40:38.321,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
32,20:40:38.779,TileFrenzy Cube,LG,0.275s,7,5,0.714,30,42,0.714,false
33,20:40:39.379,TileFrenzy Cube,LG,0.416s,10,7,0.7,42,60,0.7,false
34,20:40:39.654,TileFrenzy Cube,LG,0.092s,3,3,1,18,18,1,false
35,20:40:39.713,TileFrenzy Cube,LG,0.001s,1,1,1,6,6,1,false
36,20:40:40.163,TileFrenzy Cube,LG,0.275s,7,4,0.571,24,42,0.571,false
37,20:40:40.572,TileFrenzy Cube,LG,0.224s,6,5,0.833,30,36,0.833,false
38,20:40:40.905,TileFrenzy Cube,LG,0.091s,3,3,1,18,18,1,false
39,20:40:41.171,TileFrenzy Cube,LG,0.183s,5,4,0.8,24,30,0.8,false
40,20:40:41.630,TileFrenzy Cube,LG,0.274s,7,5,0.714,30,42,0.714,false
41,20:40:41.813,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
42,20:40:42.413,TileFrenzy Cube,LG,0.366s,9,5,0.556,30,54,0.556,false
43,20:40:42.646,TileFrenzy Cube,LG,0.092s,3,3,1,18,18,1,false
44,20:40:43.105,TileFrenzy Cube,LG,0.275s,7,4,0.571,24,42,0.571,false
45,20:40:43.380,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
46,20:40:43.755,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
47,20:40:44.163,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
48,20:40:44.530,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
49,20:40:44.805,TileFrenzy Cube,LG,0.091s,3,3,1,18,18,1,false
50,20:40:45.130,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
51,20:40:45.447,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
52,20:40:45.773,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
53,20:40:46.089,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
54,20:40:46.464,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
55,20:40:46.831,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
56,20:40:47.381,TileFrenzy Cube,LG,0.317s,8,4,0.5,24,48,0.5,false
57,20:40:47.764,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
58,20:40:48.165,TileFrenzy Cube,LG,0.226s,6,4,0.667,24,36,0.667,false
59,20:40:48.539,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
60,20:40:48.898,TileFrenzy Cube,LG,0.192s,5,4,0.8,24,30,0.8,false
61,20:40:49.223,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
62,20:40:49.915,TileFrenzy Cube,LG,0.499s,12,6,0.5,36,72,0.5,false
63,20:40:49.964,TileFrenzy Cube,LG,0.041s,2,2,1,12,12,1,false
64,20:40:50.565,TileFrenzy Cube,LG,0.317s,8,4,0.5,24,48,0.5,false
65,20:40:50.923,TileFrenzy Cube,LG,0.184s,5,4,0.8,24,30,0.8,false
66,20:40:51.249,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
67,20:40:51.473,TileFrenzy Cube,LG,0.132s,4,4,1,24,24,1,false
68,20:40:51.623,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
69,20:40:52.024,TileFrenzy Cube,LG,0.233s,6,4,0.667,24,36,0.667,false
70,20:40:52.307,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
71,20:40:52.673,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
72,20:40:52.948,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
73,20:40:53.173,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
74,20:40:53.323,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
75,20:40:53.682,TileFrenzy Cube,LG,0.191s,5,4,0.8,24,30,0.8,false
76,20:40:54.007,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
77,20:40:54.282,TileFrenzy Cube,LG,0.134s,4,4,1,24,24,1,false
78,20:40:54.649,TileFrenzy Cube,LG,0.133s,4,4,1,24,24,1,false
79,20:40:54.924,TileFrenzy Cube,LG,0.142s,4,4,1,24,24,1,false
80,20:40:55.306,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
81,20:40:55.983,TileFrenzy Cube,LG,0.5s,12,6,0.5,36,72,0.5,false
82,20:40:56.349,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false
83,20:40:56.640,TileFrenzy Cube,LG,0.05s,2,2,1,12,12,1,false
84,20:40:56.990,TileFrenzy Cube,LG,0.184s,5,4,0.8,24,30,0.8,false
85,20:40:57.374,TileFrenzy Cube,LG,0.141s,4,4,1,24,24,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,402,344,2064.0,2412.0,

Kills:,86
Deaths:,0
Fight Time:,14.424
Avg TTK:,0
Damage Done:,2064.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2064.0
Scenario:,Tile Frenzy Flick
Hash:,6fba951c55067befb822c39035d3ebaf
Game Version:,2.0.3.1
Challenge Start:,20:40:27.544

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Overwatch
Horiz Sens:,4.64
Vert Sens:,4.64
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,119.942329
Resolution Scale,100.0
