Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:01:40.128,Quaker Bot Long Strafes,LG,0.258s,27,20,0.741,100,135,0.741,false
2,14:01:40.844,Quaker Bot Long Strafes,LG,0.424s,44,20,0.455,100,220,0.455,false
3,14:01:41.695,Quaker Bot Long Strafes,LG,0.466s,36,20,0.556,100,180,0.556,false
4,14:01:42.270,Quaker Bot Long Strafes,LG,0.341s,36,20,0.556,100,180,0.556,false
5,14:01:43.378,Quaker Bot Long Strafes,LG,0.333s,35,20,0.571,100,175,0.571,false
6,14:01:44.271,Quaker Bot Long Strafes,LG,0.625s,64,20,0.312,100,320,0.312,false
7,14:01:44.912,Quaker Bot Long Strafes,LG,0.316s,33,20,0.606,100,165,0.606,false
8,14:01:45.538,Quaker Bot Long Strafes,LG,0.392s,41,20,0.488,100,205,0.488,false
9,14:01:46.871,Quaker Bot Long Strafes,LG,1.05s,76,20,0.263,100,380,0.263,false
10,14:01:47.821,Quaker Bot Long Strafes,LG,0.559s,57,20,0.351,100,285,0.351,false
11,14:01:48.529,Quaker Bot Long Strafes,LG,0.483s,50,20,0.4,100,250,0.4,false
12,14:01:49.196,Quaker Bot Long Strafes,LG,0.34s,36,20,0.556,100,180,0.556,false
13,14:01:49.630,Quaker Bot Long Strafes,LG,0.223s,24,20,0.833,100,120,0.833,false
14,14:01:50.129,Quaker Bot Long Strafes,LG,0.192s,21,20,0.952,100,105,0.952,false
15,14:01:50.755,Quaker Bot Long Strafes,LG,0.342s,36,20,0.556,100,180,0.556,false
16,14:01:51.496,Quaker Bot Long Strafes,LG,0.432s,45,20,0.444,100,225,0.444,false
17,14:01:52.263,Quaker Bot Long Strafes,LG,0.326s,34,20,0.588,100,170,0.588,false
18,14:01:52.897,Quaker Bot Long Strafes,LG,0.475s,49,20,0.408,100,245,0.408,false
19,14:01:53.522,Quaker Bot Long Strafes,LG,0.308s,32,20,0.625,100,160,0.625,false
20,14:01:54.548,Quaker Bot Long Strafes,LG,0.675s,69,20,0.29,100,345,0.29,false
21,14:01:55.191,Quaker Bot Long Strafes,LG,0.342s,36,20,0.556,100,180,0.556,false
22,14:01:56.307,Quaker Bot Long Strafes,LG,0.823s,60,20,0.333,100,300,0.333,false
23,14:01:56.932,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
24,14:01:57.399,Quaker Bot Long Strafes,LG,0.241s,26,20,0.769,100,130,0.769,false
25,14:01:58.316,Quaker Bot Long Strafes,LG,0.566s,58,20,0.345,100,290,0.345,false
26,14:01:59.233,Quaker Bot Long Strafes,LG,0.667s,68,20,0.294,100,340,0.294,false
27,14:01:59.716,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
28,14:02:00.691,Quaker Bot Long Strafes,LG,0.509s,52,20,0.385,100,260,0.385,false
29,14:02:01.325,Quaker Bot Long Strafes,LG,0.342s,36,20,0.556,100,180,0.556,false
30,14:02:01.975,Quaker Bot Long Strafes,LG,0.441s,46,20,0.435,100,230,0.435,false
31,14:02:02.867,Quaker Bot Long Strafes,LG,0.608s,62,20,0.323,100,310,0.323,false
32,14:02:03.367,Quaker Bot Long Strafes,LG,0.193s,21,20,0.952,100,105,0.952,false
33,14:02:04.351,Quaker Bot Long Strafes,LG,0.708s,72,20,0.278,100,360,0.278,false
34,14:02:05.017,Quaker Bot Long Strafes,LG,0.324s,34,20,0.588,100,170,0.588,false
35,14:02:05.700,Quaker Bot Long Strafes,LG,0.291s,31,20,0.645,100,155,0.645,false
36,14:02:06.634,Quaker Bot Long Strafes,LG,0.617s,63,20,0.317,100,315,0.317,false
37,14:02:07.335,Quaker Bot Long Strafes,LG,0.408s,42,20,0.476,100,210,0.476,false
38,14:02:07.843,Quaker Bot Long Strafes,LG,0.275s,29,20,0.69,100,145,0.69,false
39,14:02:08.284,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
40,14:02:08.843,Quaker Bot Long Strafes,LG,0.325s,34,20,0.588,100,170,0.588,false
41,14:02:09.868,Quaker Bot Long Strafes,LG,0.691s,71,20,0.282,100,355,0.282,false
42,14:02:10.477,Quaker Bot Long Strafes,LG,0.408s,42,20,0.476,100,210,0.476,false
43,14:02:11.235,Quaker Bot Long Strafes,LG,0.515s,53,20,0.377,100,265,0.377,false
44,14:02:12.035,Quaker Bot Long Strafes,LG,0.541s,56,20,0.357,100,280,0.357,false
45,14:02:13.135,Quaker Bot Long Strafes,LG,0.641s,66,20,0.303,100,330,0.303,false
46,14:02:13.736,Quaker Bot Long Strafes,LG,0.426s,28,20,0.714,100,140,0.714,false
47,14:02:14.744,Quaker Bot Long Strafes,LG,0.74s,76,20,0.263,100,380,0.263,false
48,14:02:15.611,Quaker Bot Long Strafes,LG,0.492s,51,20,0.392,100,255,0.392,false
49,14:02:16.304,Quaker Bot Long Strafes,LG,0.382s,40,20,0.5,100,200,0.5,false
50,14:02:17.511,Quaker Bot Long Strafes,LG,0.858s,87,20,0.23,100,435,0.23,false
51,14:02:18.353,Quaker Bot Long Strafes,LG,0.209s,22,20,0.909,100,110,0.909,false
52,14:02:19.070,Quaker Bot Long Strafes,LG,0.433s,45,20,0.444,100,225,0.444,false
53,14:02:19.912,Quaker Bot Long Strafes,LG,0.441s,46,20,0.435,100,230,0.435,false
54,14:02:20.720,Quaker Bot Long Strafes,LG,0.392s,41,20,0.488,100,205,0.488,false
55,14:02:21.312,Quaker Bot Long Strafes,LG,0.4s,32,20,0.625,100,160,0.625,false
56,14:02:22.313,Quaker Bot Long Strafes,LG,0.692s,71,20,0.282,100,355,0.282,false
57,14:02:22.896,Quaker Bot Long Strafes,LG,0.242s,26,20,0.769,100,130,0.769,false
58,14:02:23.596,Quaker Bot Long Strafes,LG,0.392s,41,20,0.488,100,205,0.488,false
59,14:02:24.129,Quaker Bot Long Strafes,LG,0.183s,20,20,1,100,100,1,false
60,14:02:25.038,Quaker Bot Long Strafes,LG,0.591s,61,20,0.328,100,305,0.328,false
61,14:02:25.922,Quaker Bot Long Strafes,LG,0.459s,47,23,0.489,115,235,0.489,false
62,14:02:26.463,Quaker Bot Long Strafes,LG,0.358s,37,17,0.459,85,185,0.459,false
63,14:02:27.531,Quaker Bot Long Strafes,LG,0.734s,75,20,0.267,100,375,0.267,false
64,14:02:28.315,Quaker Bot Long Strafes,LG,0.516s,53,20,0.377,100,265,0.377,false
65,14:02:29.766,Quaker Bot Long Strafes,LG,1.066s,96,38,0.396,190,480,0.396,false
66,14:02:30.066,Quaker Bot Long Strafes,LG,0.084s,2,2,1,10,10,1,false
67,14:02:31.474,Quaker Bot Long Strafes,LG,1.042s,106,20,0.189,100,530,0.189,false
68,14:02:32.050,Quaker Bot Long Strafes,LG,0.309s,32,20,0.625,100,160,0.625,false
69,14:02:33.150,Quaker Bot Long Strafes,LG,0.742s,76,20,0.263,100,380,0.263,false
70,14:02:34.167,Quaker Bot Long Strafes,LG,0.658s,67,20,0.299,100,335,0.299,false
71,14:02:34.742,Quaker Bot Long Strafes,LG,0.225s,24,20,0.833,100,120,0.833,false
72,14:02:35.509,Quaker Bot Long Strafes,LG,0.267s,28,20,0.714,100,140,0.714,false
73,14:02:36.734,Quaker Bot Long Strafes,LG,0.391s,41,20,0.488,100,205,0.488,false
74,14:02:37.576,Quaker Bot Long Strafes,LG,0.584s,60,20,0.333,100,300,0.333,false
75,14:02:38.251,Quaker Bot Long Strafes,LG,0.341s,36,20,0.556,100,180,0.556,false
76,14:02:38.851,Quaker Bot Long Strafes,LG,0.359s,37,20,0.541,100,185,0.541,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,3467,1520,7600.0,17335.0,

Kills:,76
Deaths:,0
Fight Time:,34.592999
Avg TTK:,0
Damage Done:,7600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,76.0
Scenario:,voxTargetSwitch
Hash:,0726d639df23bb87e88e374b5038d834
Game Version:,2.0.3.2
Challenge Start:,14:01:39.107

Input Lag:,0
Max FPS (config):,120.0
Sens Scale:,Quake/Source
Horiz Sens:,1.5
Vert Sens:,1.5
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,119.936699
Resolution Scale,100.0
